iter	RMSE
0	8665657.058
1	8455174.608
2	8234177.489
3	8050222.338
4	7745873.114
5	7587124.333
6	7407884.423
7	7234419.178
8	7075165.34
9	6912646.458
10	6817735.069
11	6660289.148
12	6516946.652
13	6379309.709
14	6244987.008
15	6135466.199
16	6031497.602
17	5879393.848
18	5744422.556
19	5669316.552
20	5581783.567
21	5464119.35
22	5336384.454
23	5242255.568
24	5176790.355
25	5098189.385
26	5031071.68
27	4960441.917
28	4889272.622
29	4831530.244
30	4778758.4
31	4726130.686
32	4674014.317
33	4623617.247
34	4574941.741
35	4517616.84
36	4476616.208
37	4428978.619
38	4379991.283
39	4343593.085
40	4293917.362
41	4265131.853
42	4230522.802
43	4195596.984
44	4147303.644
45	4113301.333
46	4072509.25
47	4040848.674
48	4005784.852
49	3976483.446
50	3954308.043
51	3924716.718
52	3899515.578
53	3866755.614
54	3826236.461
55	3799160.301
56	3771011.076
57	3745207.761
58	3722511.352
59	3696691.04
60	3658464.299
61	3628155.438
62	3594085.649
63	3578852.845
64	3561099.586
65	3533823.38
66	3512667.198
67	3483702.883
68	3469133.808
69	3444402.831
70	3421450.977
71	3397150.245
72	3382953.91
73	3348118.165
74	3325600.393
75	3319699.121
76	3300108.153
77	3275962.179
78	3260114.42
79	3253075.162
80	3234581.451
81	3228827.778
82	3207960.45
83	3197697.287
84	3189912.17
85	3176275.805
86	3171437.178
87	3165033.194
88	3150448.62
89	3140058.183
90	3126296.264
91	3118717.829
92	3109736.028
93	3095828.374
94	3073617.781
95	3065696.052
96	3051041.85
97	3041476.264
98	3026163.497
99	3021065.74
100	3003541.403
101	2998960.239
102	2987972.712
103	2974600.23
104	2962521.487
105	2946887.899
106	2932548.877
107	2915800.107
108	2896387.966
109	2893749.476
110	2887303.085
111	2884127.378
112	2879870.134
113	2871870.282
114	2864673.097
115	2851000.063
116	2845615.207
117	2839945.65
118	2836765.867
119	2833684.333
120	2824656.109
121	2818572.739
122	2805661.655
123	2797543.924
124	2789222.581
125	2787076.525
126	2772265.359
127	2762582.185
128	2746222.011
129	2743014.575
130	2732113.089
131	2711628.733
132	2707332.835
133	2704854.586
134	2697474.669
135	2684406.744
136	2671121.27
137	2662228.583
138	2659159.931
139	2653758.745
140	2653037.218
141	2637442.799
142	2625267.683
143	2623433.082
144	2622556.807
145	2618447.163
146	2608806.87
147	2607557.644
148	2601577.048
149	2592572.107
150	2581703.695
151	2571594.16
152	2568973.321
153	2568387.669
154	2557713.265
155	2555643.188
156	2541154.395
157	2539976.615
158	2539340.553
159	2537313.198
160	2526911.816
161	2519420.428
162	2517784.169
163	2516287.243
164	2514917.715
165	2512162.383
166	2511160.172
167	2504206.294
168	2493121.656
169	2488309.548
170	2480721.286
171	2467192.01
172	2459287.749
173	2458474.605
174	2450023.187
175	2439120.371
176	2433516.864
177	2427902.522
178	2426252.995
179	2425010.446
180	2412927.168
181	2411492.901
182	2409775.269
183	2400616.199
184	2398825.903
185	2391481.023
186	2389651.209
187	2388786.108
188	2381760.223
189	2380488.125
190	2379913.439
191	2373985.055
192	2365100.149
193	2349012.708
194	2347103.95
195	2346623.52
196	2344454.737
197	2341696.863
198	2334197.489
199	2326534.737
200	2324155.716
201	2320815.293
202	2317254.998
203	2315471.442
204	2306788.817
205	2302683.953
206	2296172.216
207	2285628.319
208	2274629.936
209	2273174.834
210	2266373.611
211	2261047.577
212	2259733.206
213	2254037.583
214	2244338.048
215	2242276.276
216	2241066.364
217	2239719.74
218	2231216.277
219	2226798.665
220	2223666.786
221	2213019.74
222	2204436.476
223	2191139.412
224	2184539.178
225	2179856.156
226	2172981.7
227	2171096.053
228	2164819.561
229	2157152.028
230	2150404.936
231	2144882.202
232	2144428.113
233	2142989.865
234	2133834.791
235	2128756.039
236	2123896.669
237	2117351.031
238	2108545.607
239	2101704.836
240	2092125.439
241	2079980.688
242	2078835.788
243	2072540.847
244	2063894.824
245	2063140.433
246	2062304.854
247	2055484.552
248	2050538.137
249	2045591.963
