iter	Passed	Remaining
0	2	731
1	5	651
2	7	633
3	9	613
4	11	562
5	13	560
6	16	558
7	18	554
8	20	549
9	23	554
10	25	550
11	27	546
12	29	544
13	32	541
14	34	538
15	36	537
16	39	534
17	41	532
18	43	530
19	45	527
20	48	525
21	50	523
22	52	521
23	55	519
24	60	541
25	64	554
26	67	558
27	71	563
28	74	565
29	78	572
30	81	575
31	84	577
32	87	578
33	90	572
34	92	567
35	94	562
36	96	557
37	99	553
38	105	570
39	109	573
40	113	580
41	117	580
42	119	574
43	121	569
44	124	565
45	126	561
46	128	556
47	131	552
48	133	548
49	137	548
50	140	548
51	143	544
52	145	540
53	147	536
54	150	532
55	152	528
56	154	524
57	157	522
58	161	521
59	164	520
60	166	516
61	169	515
62	173	513
63	175	509
64	177	505
65	180	502
66	183	499
67	186	498
68	188	495
69	192	494
70	195	492
71	197	489
72	200	485
73	202	481
74	206	481
75	210	482
76	215	484
77	219	484
78	224	486
79	228	486
80	232	485
81	235	483
82	239	481
83	241	477
84	244	474
85	247	471
86	250	468
87	252	465
88	255	461
89	257	458
90	260	454
91	263	452
92	266	449
93	269	447
94	272	445
95	275	442
96	278	438
97	280	434
98	283	432
99	285	428
100	287	424
101	290	421
102	292	418
103	296	415
104	299	413
105	301	409
106	303	406
107	306	403
108	309	399
109	310	395
110	313	392
111	316	389
112	318	386
113	321	383
114	324	380
115	327	378
116	330	375
117	333	372
118	335	369
119	338	366
120	340	362
121	342	359
122	344	355
123	348	354
124	353	353
125	358	352
126	362	351
127	367	350
128	371	347
129	374	345
130	378	344
131	381	341
132	385	338
133	388	336
134	391	333
135	395	331
136	398	328
137	401	326
138	405	323
139	408	320
140	411	318
141	414	315
142	417	312
143	419	309
144	422	305
145	424	302
146	427	299
147	431	297
148	433	294
149	435	290
150	438	287
151	440	284
152	444	281
153	447	278
154	450	276
155	453	273
156	456	270
157	458	266
158	460	263
159	462	260
160	465	257
161	467	253
162	470	251
163	473	248
164	475	245
165	478	241
166	480	238
167	483	236
168	487	233
169	490	230
170	493	228
171	496	225
172	498	222
173	500	218
174	503	215
175	505	212
176	507	209
177	510	206
178	512	203
179	514	200
180	517	197
181	519	194
182	521	191
183	524	188
184	526	185
185	529	182
186	531	179
187	533	176
188	537	173
189	539	170
190	542	167
191	544	164
192	546	161
193	548	158
194	551	155
195	553	152
196	555	149
197	558	146
198	560	143
199	562	140
200	565	137
201	568	135
202	571	132
203	573	129
204	576	126
205	578	123
206	581	120
207	584	117
208	587	115
209	590	112
210	594	109
211	596	106
212	599	104
213	602	101
214	606	98
215	609	95
216	612	93
217	615	90
218	617	87
219	619	84
220	622	81
221	625	78
222	628	76
223	632	73
224	635	70
225	638	67
226	640	64
227	643	62
228	645	59
229	648	56
230	652	53
231	654	50
232	656	47
233	659	45
234	662	42
235	665	39
236	669	36
237	671	33
238	673	31
239	677	28
240	679	25
241	681	22
242	683	19
243	686	16
244	688	14
245	690	11
246	693	8
247	695	5
248	699	2
249	703	0
