Player,Position,Age,Team,Game,Minutes,FGA,FG%,3PA,3P%,Rebound,Asist,Point,salary,Years,Sal_Mid,Age_Mid,Year_Mid,log10_Salary
Steven Adams,C,25.0,OKC,80.0,33.4,10.1,0.595,0.0,0.0,9.5,1.6,13.9,24157303,6.0,22.5,25,6,7.383048446604777
Bam Adebayo,C,21.0,MIA,82.0,23.3,5.9,0.5760000000000001,0.2,0.2,7.3,2.2,8.9,2955840,2.0,2.5,20,2,6.470680921942766
LaMarcus Aldridge,C,33.0,SAS,81.0,33.2,16.3,0.519,0.5,0.23800000000000002,9.2,2.4,21.3,22347015,13.0,22.5,33,14,7.349219520505727
Grayson Allen,SG,23.0,UTA,38.0,10.9,4.7,0.376,2.6,0.32299999999999995,0.6,0.7,5.6,2074320,1.0,2.5,23,2,6.316875754711681
Jarrett Allen,C,20.0,BRK,80.0,26.2,7.1,0.59,0.6,0.133,8.4,1.4,10.9,2034120,2.0,2.5,20,2,6.3083765699242695
Al-Farouq Aminu,PF,28.0,POR,81.0,28.3,7.3,0.433,3.5,0.34299999999999997,7.5,1.3,9.4,6957105,9.0,7.5,27,10,6.842428557989888
Justin Anderson,SF,25.0,ATL,48.0,9.6,3.3,0.408,1.6,0.312,1.8,0.5,3.7,2516048,4.0,2.5,25,4,6.4007189221215155
Kyle Anderson,SF,25.0,MEM,43.0,29.8,6.4,0.5429999999999999,0.8,0.265,5.8,3.0,8.0,8641000,5.0,7.5,25,6,6.936564005135266
Ryan Anderson,PF,30.0,TOT,25.0,12.9,2.8,0.304,1.6,0.225,2.2,0.8,2.5,20421546,11.0,22.5,29,12,7.31008861697977
Ike Anigbogu,C,20.0,IND,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.3,0.0,1378242,1.0,2.5,20,2,6.139325480298095
Giannis Antetokounmpo,PF,24.0,MIL,72.0,32.8,17.3,0.578,2.8,0.256,12.5,5.9,27.7,24157303,6.0,22.5,23,6,7.383048446604777
