,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins,wiggian01,Kansas,6,454,16242,8943,1977,1065,0.441,0.332,0.732,35.8,19.7,4.4,2.3,15,0.044,-1.9,0.2
2,2,MIL,Jabari Parker,parkeja01,Duke,6,280,8193,4208,1614,585,0.492,0.324,0.739,29.3,15,5.8,2.1,12.8,0.075,-0.9,2.3
3,3,PHI,Joel Embiid,embiijo01,Kansas,4,202,6181,4864,2324,636,0.479,0.322,0.794,30.6,24.1,11.5,3.1,22.4,0.174,4.5,10
4,4,ORL,Aaron Gordon,gordoaa01,Arizona,6,399,11414,5082,2553,951,0.447,0.318,0.701,28.6,12.7,6.4,2.4,21.4,0.09,-0.1,5.5
5,5,UTA,Dante Exum,exumda01,,5,239,4429,1366,424,502,0.407,0.308,0.766,18.5,5.7,1.8,2.1,3.1,0.034,-3.3,-1.5
6,6,BOS,Marcus Smart,smartma01,Oklahoma State,6,394,11409,3888,1409,1594,0.374,0.318,0.774,29,9.9,3.6,4,20.3,0.086,-0.3,4.9
7,7,LAL,Julius Randle,randlju01,Kentucky,6,375,10934,6032,3375,1045,0.493,0.295,0.724,29.2,16.1,9,2.8,20.5,0.09,-0.5,4.1
8,8,SAC,Nik Stauskas,stausni01,Michigan,5,335,6662,2272,688,513,0.389,0.353,0.814,19.9,6.8,2.1,1.5,3.8,0.028,-3,-1.7
9,9,CHH,Noah Vonleh,vonleno01,Indiana,6,332,5659,1655,1740,255,0.46,0.31,0.692,17,5,5.2,0.8,9.3,0.079,-2.3,-0.5
10,10,PHI,Elfrid Payton,paytoel01,LA-Lafayette,6,387,11350,4247,1703,2566,0.452,0.289,0.625,29.3,11,4.4,6.6,14.9,0.063,-0.5,4.3
11,11,DEN,Doug McDermott,mcderdo01,Creighton,6,403,8040,3302,882,339,0.465,0.413,0.825,20,8.2,2.2,0.8,13.6,0.081,-2.1,-0.1
12,12,ORL,Dario Šari?,saricda01,,4,298,7903,3625,1835,620,0.437,0.356,0.835,26.5,12.2,6.2,2.1,13.9,0.084,-0.8,2.4
13,13,MIN,Zach LaVine,lavinza01,UCLA,6,353,10857,6240,1279,1275,0.447,0.375,0.819,30.8,17.7,3.6,3.6,12,0.053,-0.6,3.8
14,14,PHO,T.J. Warren,warretj01,NC State,6,322,9218,4894,1320,380,0.504,0.35,0.777,28.6,15.2,4.1,1.2,18.3,0.095,-0.4,3.7
15,15,ATL,Adreian Payne,paynead01,Michigan State,4,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.9,-1.4
16,16,CHI,Jusuf Nurki?,nurkiju01,,5,310,7103,3608,2480,589,0.491,0.071,0.666,22.9,11.6,8,1.9,16.4,0.111,0.2,3.9
17,17,BOS,James Young,youngja01,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-3.4,-0.3
18,18,PHO,Tyler Ennis,ennisty01,Syracuse,4,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-3.4,-0.8
19,19,CHI,Gary Harris,harriga01,Michigan State,6,368,10663,4459,961,779,0.454,0.36,0.803,29,12.1,2.6,2.1,18.1,0.082,-0.9,3
20,20,TOR,Bruno Caboclo,cabocbr01,,6,96,1233,407,247,71,0.397,0.314,0.836,12.8,4.2,2.6,0.7,1.5,0.057,-2.4,-0.1
21,21,OKC,Mitch McGary,mcgarmi01,Michigan,2,52,557,227,183,17,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3,0.108,-2.6,-0.1
22,22,MEM,Jordan Adams,adamsjo01,UCLA,2,32,263,101,30,19,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,1.7,0.2
23,23,UTA,Rodney Hood,hoodro01,Duke,6,341,9326,4247,980,645,0.426,0.372,0.839,27.3,12.5,2.9,1.9,17.1,0.088,-0.5,3.4
24,24,CHH,Shabazz Napier,napiesh01,UConn,6,340,5876,2382,645,840,0.397,0.346,0.815,17.3,7,1.9,2.5,8.3,0.068,-0.6,2.1
25,25,HOU,Clint Capela,capelca01,,6,334,8674,4075,3243,324,0.634,0,0.526,26,12.2,9.7,1,36.4,0.201,1.9,8.5
26,26,MIA,P.J. Hairston,hairspj02,UNC,2,111,2000,664,266,59,0.343,0.295,0.81,18,6,2.4,0.5,0.9,0.021,-3.9,-1
27,27,PHO,Bogdan Bogdanovi?,bogdabo01,,3,201,5632,2674,637,694,0.432,0.37,0.803,28,13.3,3.2,3.5,8,0.068,-0.7,1.9
28,28,LAC,C.J. Wilcox,wilcocj01,Washington,3,66,376,132,31,30,0.37,0.333,0.813,5.7,2,0.5,0.5,0.1,0.007,-4.3,-0.2
29,29,OKC,Josh Huestis,huestjo01,Stanford,3,76,1068,187,180,23,0.346,0.312,0.24,14.1,2.5,2.4,0.3,0.7,0.03,-3.5,-0.4
30,30,SAS,Kyle Anderson,anderky01,UCLA,6,359,7022,1936,1428,704,0.492,0.307,0.698,19.6,5.4,4,2,17.6,0.12,1.5,6.2
