,,,2016,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,simmobe01,LSU,3,214,7362,3518,1779,1713,0.561,0.087,0.594,34.4,16.4,8.3,8,24.4,0.159,4,11.1
2,2,LAL,Brandon Ingram,ingrabr01,Duke,4,246,7933,3997,1247,791,0.46,0.357,0.72,32.2,16.2,5.1,3.2,9.4,0.057,-1.4,1.2
3,3,BOS,Jaylen Brown,brownja02,California,4,272,7108,3518,1197,387,0.47,0.37,0.68,26.1,12.9,4.4,1.4,13.5,0.091,-1.2,1.5
4,4,PHO,Dragan Bender,bendedr01,,4,187,3755,1014,720,237,0.399,0.323,0.654,20.1,5.4,3.9,1.3,0.5,0.006,-3.9,-1.8
5,5,MIN,Kris Dunn,dunnkr01,Providence,4,227,5516,1884,760,948,0.422,0.306,0.726,24.3,8.3,3.3,4.2,3.9,0.034,-1.8,0.2
6,6,NOP,Buddy Hield,hieldbu01,Oklahoma,4,308,8572,4908,1294,678,0.442,0.411,0.869,27.8,15.9,4.2,2.2,13.1,0.074,0.8,6
7,7,DEN,Jamal Murray,murraja01,Kentucky,4,293,8580,4563,1045,1073,0.439,0.358,0.882,29.3,15.6,3.6,3.7,16.1,0.09,-0.1,4.2
8,8,SAC,Marquese Chriss,chrisma01,Washington,4,256,4965,2039,1250,279,0.456,0.29,0.669,19.4,8,4.9,1.1,5.7,0.055,-2.3,-0.4
9,9,TOR,Jakob Pöltl,poeltja01,Utah,4,271,4388,1461,1278,264,0.638,0.5,0.543,16.2,5.4,4.7,1,15.6,0.171,1,3.3
10,10,MIL,Thon Maker,makerth01,,4,255,3548,1186,708,157,0.433,0.329,0.673,13.9,4.7,2.8,0.6,6.3,0.086,-2.2,-0.2
11,11,ORL,Domantas Sabonis,sabondo01,Gonzaga,4,291,7439,3530,2321,755,0.522,0.321,0.722,25.6,12.1,8,2.6,20.6,0.133,0.4,4.6
12,12,UTA,Taurean Waller-Prince,princta02,Baylor,4,260,6854,3008,1126,503,0.412,0.366,0.818,26.4,11.6,4.3,1.9,5.3,0.037,-1.9,0.1
13,13,PHO,Georgios Papagiannis,papagge01,,2,39,477,160,123,29,0.514,0,0.857,12.2,4.1,3.2,0.7,0.4,0.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,valende01,Michigan State,3,170,3559,1320,618,350,0.401,0.366,0.753,20.9,7.8,3.6,2.1,3.6,0.048,-1.6,0.4
15,15,DEN,Juan Hernangómez,hernaju01,,4,205,3310,1083,703,136,0.428,0.359,0.722,16.1,5.3,3.4,0.7,6.1,0.089,-1.6,0.4
16,16,BOS,Guerschon Yabusele,yabusgu01,,2,74,486,173,105,31,0.442,0.323,0.682,6.6,2.3,1.4,0.4,1.1,0.105,-1.9,0
17,17,MEM,Wade Baldwin,baldwwa01,Vanderbilt,3,56,579,174,69,78,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5
18,18,DET,Henry Ellenson,ellenhe01,Marquette,4,81,749,327,194,44,0.372,0.343,0.774,9.2,4,2.4,0.5,0.3,0.018,-3.8,-0.3
19,19,DEN,Malik Beasley,beaslma01,Florida State,4,220,3836,1811,436,214,0.448,0.388,0.8,17.4,8.2,2,1,6.4,0.08,-1.2,0.8
20,20,IND,Caris LeVert,leverca01,Michigan,4,207,5295,2565,758,724,0.43,0.342,0.711,25.6,12.4,3.7,3.5,6.9,0.063,-0.6,1.8
21,21,ATL,DeAndre' Bembry,bembrde01,Saint Joseph's,4,189,3672,1173,641,360,0.448,0.269,0.592,19.4,6.2,3.4,1.9,1,0.013,-2.8,-0.8
22,22,CHO,Malachi Richardson,richama01,Syracuse,3,70,625,198,70,24,0.358,0.301,0.783,8.9,2.8,1,0.3,-0.1,-0.009,-6.1,-0.7
23,23,BOS,Ante Žiži?,zizican01,,3,113,1517,674,446,64,0.581,,0.711,13.4,6,3.9,0.6,3.5,0.11,-2.6,-0.2
24,24,PHI,Timothé Luwawu-Cabarrot,luwawti01,,4,210,3337,1222,409,180,0.39,0.327,0.824,15.9,5.8,1.9,0.9,2.8,0.04,-4.3,-2
25,25,LAC,Brice Johnson,johnsbr02,UNC,2,21,107,47,34,3,0.449,0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-0.6,0
26,26,PHI,Furkan Korkmaz,korkmfu01,,3,126,2157,925,266,126,0.417,0.372,0.758,17.1,7.3,2.1,1,3.4,0.076,-1.8,0.1
27,27,TOR,Pascal Siakam,siakapa01,New Mexico State,4,269,6968,3425,1497,615,0.504,0.333,0.766,25.9,12.7,5.6,2.3,20.7,0.143,1.5,6.1
28,28,PHO,Skal Labissière,labissk01,Kentucky,4,148,2595,1069,662,152,0.492,0.353,0.748,17.5,7.2,4.5,1,4.4,0.082,-2.3,-0.2
29,29,SAS,Dejounte Murray,murrade01,Washington,3,177,3512,1403,836,516,0.456,0.354,0.739,19.8,7.9,4.7,2.9,5.8,0.079,0.2,2
30,30,GSW,Damian Jones,jonesda03,Vanderbilt,4,104,1471,480,318,65,0.666,0.222,0.676,14.1,4.6,3.1,0.6,4.4,0.143,-1.6,0.2
31,31,BOS,Deyonta Davis,davisde01,Michigan State,3,107,1299,454,346,47,0.599,0,0.635,12.1,4.2,3.2,0.4,3.6,0.131,-2.1,0
32,32,LAL,Ivica Zubac,zubaciv01,,4,204,3215,1481,1105,187,0.559,0,0.76,15.8,7.3,5.4,0.9,10.9,0.162,0.1,1.7
33,33,LAC,Cheick Diallo,diallch01,Kansas,4,177,2143,939,743,78,0.598,0.333,0.77,12.1,5.3,4.2,0.4,6.2,0.139,-1.4,0.3
34,34,PHO,Tyler Ulis,ulisty01,Kentucky,3,133,2782,998,223,537,0.403,0.28,0.808,20.9,7.5,1.7,4,0.5,0.008,-3.6,-1.1
35,35,BOS,Rade Zagorac,zagorra01,,0,,,,,,,,,,,,,,,,
36,36,MIL,Malcolm Brogdon,brogdma01,Virginia,4,235,6722,3177,883,1017,0.472,0.385,0.895,28.6,13.5,3.8,4.3,16.8,0.12,0.6,4.4
37,37,HOU,Chinanu Onuaku,onuakch01,Louisville,2,6,74,18,14,4,0.583,,1,12.3,3,2.3,0.7,0.1,0.043,-5.4,-0.1
38,38,MIL,Patrick McCaw,mccawpa01,UNLV,4,194,3340,755,316,266,0.419,0.305,0.779,17.2,3.9,1.6,1.4,4.2,0.061,-2.8,-0.7
39,39,NOP,David Michineau,michida01,,0,,,,,,,,,,,,,,,,
40,40,NOP,Diamond Stone,stonedi01,Maryland,1,7,24,10,6,0,0.231,,1,3.4,1.4,0.9,0,-0.1,-0.211,-20.8,-0.1
41,41,ORL,Stephen Zimmerman,zimmest01,UNLV,1,19,108,23,35,4,0.323,,0.6,5.7,1.2,1.8,0.2,0,-0.005,-8.3,-0.2
42,42,UTA,Isaiah Whitehead,whiteis01,Seton Hall,2,89,1823,643,210,212,0.411,0.305,0.788,20.5,7.2,2.4,2.4,-0.9,-0.025,-5,-1.4
43,43,HOU,Zhou Qi,qizh01,,2,19,125,24,22,2,0.212,0.105,0.667,6.6,1.3,1.2,0.1,-0.2,-0.093,-9.6,-0.2
44,44,ATL,Isaïa Cordinier,cordiis01,,0,,,,,,,,,,,,,,,,
45,45,BOS,Demetrius Jackson,jacksde01,Notre Dame,3,26,136,48,19,17,0.486,0.286,0.667,5.2,1.8,0.7,0.7,0.2,0.087,-0.5,0.1
46,46,DAL,A.J. Hammons,hammoaj01,Purdue,1,22,163,48,36,4,0.405,0.5,0.45,7.4,2.2,1.6,0.2,0,-0.001,-6.6,-0.2
47,47,ORL,Jake Layman,laymaja01,Maryland,4,164,2241,863,314,90,0.456,0.309,0.724,13.7,5.3,1.9,0.5,3,0.065,-2.1,0
48,48,CHI,Paul Zipser,zipsepa01,,2,98,1667,458,256,82,0.371,0.335,0.769,17,4.7,2.6,0.8,0,-0.001,-5.2,-1.4
49,49,DET,Michael Gbinije,gbinimi01,Syracuse,1,9,32,4,3,2,0.1,0,1,3.6,0.4,0.3,0.2,-0.1,-0.136,-12.1,-0.1
50,50,IND,Georges Niang,niangge01,Iowa State,4,149,1413,601,222,78,0.444,0.395,0.84,9.5,4,1.5,0.5,2.7,0.091,-0.6,0.5
51,51,BOS,Ben Bentil,bentibe01,Providence,1,3,10,0,2,0,0,0,,3.3,0,0.7,0,-0.1,-0.473,-25.9,-0.1
52,52,UTA,Joel Bolomboy,bolomjo01,Weber State,2,18,91,31,27,2,0.545,0.2,0.5,5.1,1.7,1.5,0.1,0.3,0.132,-0.1,0
53,53,DEN,Petr Cornelie,cornepe01,,0,,,,,,,,,,,,,,,,
54,54,ATL,Kay Felder,feldeka01,Oakland,2,58,526,223,59,78,0.364,0.268,0.754,9.1,3.8,1,1.3,-0.4,-0.041,-4.7,-0.4
55,55,BRK,Marcus Paige,paigema01,UNC,1,5,28,12,4,3,0.286,0.25,1,5.6,2.4,0.8,0.6,0,-0.006,-8.8,0
56,56,DEN,Daniel Hamilton,hamilda02,UConn,2,25,232,69,52,30,0.394,0.357,0.5,9.3,2.8,2.1,1.2,0,0,-3.3,-0.1
57,57,MEM,Wang Zhelin,sheliwa01,,0,,,,,,,,,,,,,,,,
58,58,BOS,Abdel Nader,naderab01,Iowa State,3,157,1972,674,277,81,0.413,0.348,0.715,12.6,4.3,1.8,0.5,1.9,0.046,-2.9,-0.4
59,59,SAC,Isaiah Cousins,cousiis01,Oklahoma,0,,,,,,,,,,,,,,,,
60,60,UTA,Tyrone Wallace,wallaty01,California,3,106,1639,549,228,126,0.425,0.203,0.671,15.5,5.2,2.2,1.2,0.2,0.006,-5.1,-1.3
