,,,2019,username,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,willizi01,Duke,1,19,565,448,129,41,0.589,0.462,0.645,29.7,23.6,6.8,2.2,1.8,0.149,2.4,0.6
2,2,MEM,Ja Morant,moranja01,Murray State,1,59,1771,1041,208,409,0.491,0.367,0.77,30,17.6,3.5,6.9,3.4,0.093,0.2,1
3,3,NYK,RJ Barrett,barrerj01,Duke,1,56,1704,803,279,143,0.402,0.32,0.614,30.4,14.3,5,2.6,-0.5,-0.015,-4.3,-1
4,4,LAL,De'Andre Hunter,huntede01,Virginia,1,63,2018,778,286,112,0.41,0.355,0.764,32,12.3,4.5,1.8,0.1,0.001,-4.8,-1.4
5,5,CLE,Darius Garland,garlada01,Vanderbilt,1,59,1824,728,111,229,0.401,0.355,0.875,30.9,12.3,1.9,3.9,-1.3,-0.035,-5.7,-1.7
6,6,PHO,Jarrett Culver,culveja01,Texas Tech,1,63,1506,580,212,110,0.404,0.299,0.462,23.9,9.2,3.4,1.7,-0.1,-0.004,-4,-0.7
7,7,CHI,Coby White,whiteco01,UNC,1,65,1674,859,230,175,0.394,0.354,0.791,25.8,13.2,3.5,2.7,0.9,0.026,-2.7,-0.3
8,8,ATL,Jaxson Hayes,hayesja02,Texas,1,56,951,420,223,51,0.66,0.25,0.63,17,7.5,4,0.9,3.5,0.176,0.1,0.5
9,9,WAS,Rui Hachimura,hachiru01,Gonzaga,1,41,1217,548,248,70,0.478,0.274,0.829,29.7,13.4,6,1.7,1.7,0.066,-3.1,-0.3
10,10,ATL,Cam Reddish,reddica01,Duke,1,58,1551,610,216,87,0.384,0.332,0.802,26.7,10.5,3.7,1.5,-0.4,-0.011,-4.1,-0.8
11,11,MIN,Cameron Johnson,johnsca02,UNC,1,49,996,398,140,52,0.418,0.397,0.761,20.3,8.1,2.9,1.1,1.8,0.086,-0.2,0.5
12,12,CHO,PJ Washington,washipj01,Kentucky,1,58,1759,710,316,123,0.455,0.374,0.647,30.3,12.2,5.4,2.1,2,0.054,-1.7,0.1
13,13,MIA,Tyler Herro,herroty01,Kentucky,1,47,1280,605,187,91,0.414,0.391,0.835,27.2,12.9,4,1.9,0.9,0.033,-2.3,-0.1
14,14,BOS,Romeo Langford,langfro01,Indiana,1,27,298,69,32,6,0.375,0.217,0.696,11,2.6,1.2,0.2,0.2,0.039,-4.7,-0.2
15,15,DET,Sekou Doumbouya,doumbse01,,1,38,754,243,118,19,0.39,0.286,0.674,19.8,6.4,3.1,0.5,-0.3,-0.02,-6.7,-0.9
16,16,ORL,Chuma Okeke,okekech01,Auburn,1,,,,,,,,,,,,,,,,
17,17,BRK,Nickeil Alexander-Walker,alexani01,Virginia Tech,1,41,501,211,80,74,0.339,0.342,0.607,12.2,5.1,2,1.8,-0.4,-0.034,-4.9,-0.4
18,18,IND,Goga Bitadze,bitadgo01,,1,49,410,152,96,21,0.473,0.167,0.727,8.4,3.1,2,0.4,0.6,0.069,-2.5,-0.1
19,19,SAS,Luka Šamani?,samanlu01,,1,1,12,0,2,3,0,0,,12,0,2,3,-0.1,-0.252,-17.3,0
20,20,BOS,Matisse Thybulle,thybuma01,Washington,1,57,1110,267,86,70,0.41,0.352,0.61,19.5,4.7,1.5,1.2,1.9,0.084,0.1,0.6
21,21,OKC,Brandon Clarke,clarkbr01,Gonzaga,1,50,1086,602,292,72,0.623,0.404,0.785,21.7,12,5.8,1.4,4.4,0.192,3.4,1.5
22,22,BOS,Grant Williams,willigr01,Tennessee,1,62,970,218,165,62,0.417,0.247,0.725,15.6,3.5,2.7,1,1.5,0.075,-2.7,-0.2
23,23,UTA,Darius Bazley,bazleda01,,1,53,909,238,196,29,0.383,0.3,0.681,17.2,4.5,3.7,0.5,0.4,0.019,-2.4,-0.1
24,24,PHI,Ty Jerome,jeromty01,Virginia,1,28,315,98,41,43,0.349,0.277,0.786,11.3,3.5,1.5,1.5,0,-0.002,-3.9,-0.1
25,25,POR,Nassir Little,littlna01,UNC,1,48,573,172,108,22,0.43,0.237,0.636,11.9,3.6,2.3,0.5,0.6,0.05,-3.6,-0.2
26,26,CLE,Dylan Windler,windldy01,Belmont,0,,,,,,,,,,,,,,,,
27,27,BRK,Mfiondu Kabengele,kabenmf01,Florida State,1,12,64,42,11,2,0.438,0.45,1,5.3,3.5,0.9,0.2,0.2,0.175,1.9,0.1
28,28,GSW,Jordan Poole,poolejo01,Michigan,1,57,1274,503,118,134,0.333,0.279,0.798,22.4,8.8,2.1,2.4,-1.2,-0.047,-6.6,-1.5
29,29,SAS,Keldon Johnson,johnske04,Kentucky,1,9,92,41,17,6,0.516,0.4,0.7,10.2,4.6,1.9,0.7,0.2,0.119,-0.9,0
30,30,MIL,Kevin Porter,porteke02,USC,1,50,1162,498,162,109,0.442,0.335,0.723,23.2,10,3.2,2.2,0.3,0.011,-3.8,-0.6
31,31,BRK,Nicolas Claxton,claxtni01,Georgia,1,15,187,66,44,16,0.563,0.143,0.524,12.5,4.4,2.9,1.1,0.5,0.124,-0.6,0.1
32,32,PHO,KZ Okpala,okpalkz01,Stanford,1,5,26,7,5,1,0.6,0,0.5,5.2,1.4,1,0.2,0.1,0.119,2.7,0
33,33,PHI,Carsen Edwards,edwarca01,Purdue,1,35,316,106,43,22,0.327,0.309,0.846,9,3,1.2,0.6,0.1,0.012,-5,-0.2
34,34,PHI,Bruno Fernando,fernabr01,Maryland,1,56,713,240,198,49,0.518,0.135,0.569,12.7,4.3,3.5,0.9,0.8,0.055,-4.2,-0.4
35,35,ATL,Marcos Louzada Silva,louzama01,,0,,,,,,,,,,,,,,,,
36,36,CHO,Cody Martin,martico01,Nevada,1,48,903,238,158,95,0.43,0.234,0.646,18.8,5,3.3,2,1,0.052,-2.1,0
37,37,DAL,Deividas Sirvydis,sirvyde01,,0,,,,,,,,,,,,,,,,
38,38,CHI,Daniel Gafford,gaffoda01,Arkansas,1,43,609,220,106,21,0.701,,0.533,14.2,5.1,2.5,0.5,1.8,0.146,-1.3,0.1
39,39,NOP,Alen Smailagi?,smailal01,,1,14,139,59,27,13,0.5,0.231,0.842,9.9,4.2,1.9,0.9,0.2,0.081,-2.2,0
40,40,SAC,Justin James,jamesju01,Wyoming,1,34,218,85,30,16,0.423,0.346,0.476,6.4,2.5,0.9,0.5,0.2,0.037,-0.7,0.1
41,41,GSW,Eric Paschall,pascher01,Villanova,1,60,1654,837,275,127,0.497,0.287,0.774,27.6,14,4.6,2.1,2.1,0.062,-2.8,-0.3
42,42,PHI,Admiral Schofield,schofad01,Tennessee,1,27,293,83,34,14,0.4,0.298,0.692,10.9,3.1,1.3,0.5,0.1,0.02,-5.3,-0.2
43,43,MIN,Jaylen Nowell,nowelja01,Washington,1,15,151,57,13,19,0.358,0.115,0.941,10.1,3.8,0.9,1.3,0.2,0.051,-3.5,-0.1
44,44,MIA,Bol Bol,bolbo01,Oregon,0,,,,,,,,,,,,,,,,
45,45,DET,Isaiah Roby,robyis01,Nebraska,1,3,11,0,2,0,0,,,3.7,0,0.7,0,0,-0.191,-15.5,0
46,46,ORL,Talen Horton-Tucker,hortota01,Iowa State,1,2,5,0,0,2,0,0,,2.5,0,0,1,0,0.11,7.9,0
47,47,SAC,Ignas Brazdeikis,brazdig01,Michigan,1,9,53,17,5,4,0.273,0.111,0.8,5.9,1.9,0.6,0.4,-0.1,-0.109,-9,-0.1
48,48,LAC,Terance Mann,mannte01,Florida State,1,35,271,56,33,38,0.407,0.25,0.75,7.7,1.6,0.9,1.1,0.3,0.057,-3.6,-0.1
49,49,SAS,Quinndary Weatherspoon,weathqu01,Mississippi State,1,3,15,0,1,1,0,0,,5,0,0.3,0.3,-0.1,-0.197,-15,0
50,50,IND,Jarrell Brantley,brantja01,College of Charleston,1,5,13,0,5,1,,,,2.6,0,1,0.2,0,-0.053,-2.8,0
51,51,BOS,Tremont Waters,watertr01,LSU,1,10,89,33,9,12,0.343,0.176,1,8.9,3.3,0.9,1.2,-0.1,-0.045,-6.6,-0.1
52,52,CHO,Jalen McDaniels,mcdanja01,San Diego State,1,16,293,89,65,13,0.471,0.375,0.824,18.3,5.6,4.1,0.8,0.5,0.078,-3.6,-0.1
53,53,UTA,Justin Wright-Foreman,wrighju02,Hofstra,1,1,2,0,0,0,,,,2,0,0,0,0,0.01,-6.9,0
54,54,PHI,Marial Shayok,shayoma01,Iowa State,1,2,10,3,3,1,0.2,0.333,,5,1.5,1.5,0.5,0,-0.227,-11.5,0
55,55,NYK,Kyle Guy,guyky01,Virginia,1,2,4,2,0,0,0.5,0,,2,1,0,0,0,-0.022,-4.1,0
56,56,LAC,Jaylen Hands,handsja01,UCLA,0,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,bonejo01,Tennessee,1,10,53,12,4,8,0.25,0.2,,5.3,1.2,0.4,0.8,-0.1,-0.118,-11.9,-0.1
58,58,GSW,Miye Oni,onimi01,Yale,1,5,11,0,2,0,0,0,,2.2,0,0.4,0,-0.1,-0.285,-17.9,0
59,59,TOR,Dewan Hernandez,hernade01,Miami (FL),1,4,11,4,7,0,0.2,0,1,2.8,1,1.8,0,0,0.003,-21.3,-0.1
60,60,SAC,Vanja Marinkovi?,marinva01,,,,,,,,,,,,,,,,,,
