Rk,Player,Username,Salary 2019-20
1,Stephen Curry,curryst01,"$40,231,758 "
2,Chris Paul,paulch01,"$38,506,482 "
3,Russell Westbrook,westbru01,"$38,178,000 "
4,John Wall,walljo01,"$37,800,000 "
5,James Harden,hardeja01,"$37,800,000 "
6,LeBron James,jamesle01,"$37,436,858 "
7,Kevin Durant,duranke01,"$37,199,000 "
8,Blake Griffin,griffbl01,"$34,234,964 "
9,Kyle Lowry,lowryky01,"$33,296,296 "
10,Paul George,georgpa01,"$33,005,556 "
11,Klay Thompson,thompkl01,"$32,742,000 "
12,Jimmy Butler,butleji01,"$32,742,000 "
13,Kemba Walker,walkeke02,"$32,742,000 "
14,Kawhi Leonard,leonaka01,"$32,742,000 "
15,Gordon Hayward,haywago01,"$32,700,690 "
16,Mike Conley,conlemi01,"$32,511,623 "
17,Kyrie Irving,irvinky01,"$31,742,000 "
18,Tobias Harris,harrito02,"$31,034,483 "
19,Khris Middleton,middlkh01,"$30,603,448 "
20,Paul Millsap,millspa01,"$30,500,000 "
21,Damian Lillard,lillada01,"$29,802,321 "
22,Kevin Love,loveke01,"$28,900,000 "
23,Nikola Vu?evi?,vucevni01,"$28,000,000 "
24,Al Horford,horfoal01,"$28,000,000 "
25,DeMar DeRozan,derozde01,"$27,739,975 "
26,CJ McCollum,mccolcj01,"$27,556,959 "
27,Joel Embiid,embiijo01,"$27,504,630 "
28,Andrew Wiggins,wiggian01,"$27,504,630 "
29,Kristaps Porzi??is,porzikr01,"$27,285,000 "
30,D'Angelo Russell,russeda01,"$27,285,000 "
31,Otto Porter,porteot01,"$27,250,576 "
32,Devin Booker,bookede01,"$27,250,000 "
33,Karl-Anthony Towns,townska01,"$27,250,000 "
34,Bradley Beal,bealbr01,"$27,093,019 "
35,Anthony Davis,davisan02,"$27,093,019 "
36,Andre Drummond,drumman01,"$27,093,019 "
37,Hassan Whiteside,whiteha01,"$27,093,018 "
38,Nikola Joki?,jokicni01,"$26,573,595 "
39,Jrue Holiday,holidjr01,"$26,131,111 "
40,LaMarcus Aldridge,aldrila01,"$26,000,000 "
41,Steven Adams,adamsst01,"$25,842,697 "
